Feature,RF Mean |SHAP|,XGB Mean |SHAP|,RF Rank,XGB Rank,Avg Rank
hemo,0.09660228978987906,1.8189814,2,1,1.5
sg,0.10487274276309484,1.3657058,1,3,2.0
sc,0.09167996497704847,1.3884351,3,2,2.5
al,0.04943827655469519,0.68834126,5,5,5.0
rc,0.024418105531797074,0.784094,6,4,5.0
bgr,0.022615560162595808,0.53891504,7,6,6.5
pcv,0.05856760093582637,0.31901234,4,12,8.0
bu,0.009607992492195926,0.43992662,10,8,9.0
sod,0.014299766495572519,0.34404573,8,10,9.0
pot,0.003464893514903659,0.44558015,15,7,11.0
age,0.005064600101451848,0.3816973,13,9,11.0
su,0.010603154945161813,0.05390348,9,14,11.5
bp,0.006348019647253922,0.13771531,11,13,12.0
wc,0.003056898692289754,0.33636102,16,11,13.5
pc_normal,0.006193793022139479,0.0,12,16,14.0
pc_abnormal,0.0041111220190594416,0.0,14,15,14.5
pcc_notpresent,0.00046009783412747805,0.0,20,17,18.5
pcc_present,0.0006967123755734706,0.0,19,18,18.5
rbc_normal,0.001717009504549913,0.0,17,22,19.5
rbc_abnormal,0.0009901785692610872,0.0,18,21,19.5
ba_notpresent,0.0,0.0,22,19,20.5
ba_present,0.0,0.0,21,20,20.5
